p_height,p_length,p_width
0,0.036,0.655
0,0.036,0.673
0,0.036,0.691
0,0.036,0.709
0,0.036,0.727
0,0.036,0.745
0,0.036,0.764
0,0.036,0.782
0,0.036,0.8
0,0.036,0.818
0,0.036,0.836
0,0.036,0.855
0,0.036,0.873
0,0.036,0.891
0,0.036,0.909
0,0.036,0.927
0,0.036,0.945
0,0.036,0.964
0,0.036,0.982
1,0.055,0
0,0.055,0.018
0,0.055,0.036
0,0.055,0.055
0,0.055,0.073
0,0.055,0.091
0,0.055,0.109
0,0.055,0.127
0,0.055,0.145
0,0.055,0.164
0,0.055,0.182
0,0.055,0.2
0,0.055,0.218
0,0.055,0.236
0,0.055,0.255
0,0.055,0.273
0,0.055,0.291
0,0.055,0.309
0,0.055,0.327
0,0.055,0.345
0,0.055,0.364
0,0.055,0.382
0,0.055,0.4
0,0.055,0.418
0,0.055,0.436
0,0.055,0.455
0,0.055,0.473
0,0.055,0.491
0,0.055,0.509
0,0.055,0.527
0,0.055,0.545
0,0.055,0.564
0,0.055,0.582
0,0.055,0.6
0,0.055,0.618
0,0.055,0.636
0,0.055,0.655
0,0.055,0.673
0,0.055,0.691
0,0.055,0.709
0,0.055,0.727
0,0.055,0.745
0,0.055,0.764
0,0.055,0.782
0,0.055,0.8
0,0.055,0.818
0,0.055,0.836
0,0.055,0.855
0,0.055,0.873
0,0.055,0.891
0,0.055,0.909
0,0.055,0.927
0,0.055,0.945
0,0.055,0.964
0,0.055,0.982
1,0.073,0
1,0.073,0.018
1,0.073,0.036
0,0.073,0.055
0,0.073,0.073
0,0.073,0.091
0,0.073,0.109
0,0.073,0.127
0,0.073,0.145
0,0.073,0.164
0,0.073,0.182
0,0.073,0.2
0,0.073,0.218
0,0.073,0.236
0,0.073,0.255
0,0.073,0.273
0,0.073,0.291
0,0.073,0.309
0,0.073,0.327
0,0.073,0.345
0,0.073,0.364
0,0.073,0.382
0,0.073,0.4
0,0.073,0.418
0,0.073,0.436
0,0.073,0.455
0,0.073,0.473
0,0.073,0.491
0,0.073,0.509
0,0.073,0.527
0,0.073,0.545
0,0.073,0.564
0,0.073,0.582
0,0.073,0.6
0,0.073,0.618
0,0.073,0.636
0,0.073,0.655
0,0.073,0.673
0,0.073,0.691
0,0.073,0.709
0,0.073,0.727
0,0.073,0.745
0,0.073,0.764
0,0.073,0.782
0,0.073,0.8
0,0.073,0.818
0,0.073,0.836
0,0.073,0.855
0,0.073,0.873
0,0.073,0.891
0,0.073,0.909
0,0.073,0.927
0,0.073,0.945
0,0.073,0.964
0,0.073,0.982
1,0.091,0
1,0.091,0.018
0,0.091,0.036
0,0.091,0.055
0,0.091,0.073
0,0.091,0.091
0,0.091,0.109
0,0.091,0.127
0,0.091,0.145
0,0.091,0.164
0,0.091,0.182
0,0.091,0.2
0,0.091,0.218
0,0.091,0.236
0,0.091,0.255
0,0.091,0.273
0,0.091,0.291
0,0.091,0.309
0,0.091,0.327
0,0.091,0.345
0,0.091,0.364
0,0.091,0.382
0,0.091,0.4
0,0.091,0.418
0,0.091,0.436
0,0.091,0.455
0,0.091,0.473
0,0.091,0.491
0,0.091,0.509
0,0.091,0.527
0,0.091,0.545
0,0.091,0.564
0,0.091,0.582
0,0.091,0.6
0,0.091,0.618
0,0.091,0.636
0,0.091,0.655
0,0.091,0.673
0,0.091,0.691
0,0.091,0.709
0,0.091,0.727
0,0.091,0.745
0,0.091,0.764
0,0.091,0.782
0,0.091,0.8
0,0.091,0.818
0,0.091,0.836
0,0.091,0.855
0,0.091,0.873
0,0.091,0.891
0,0.091,0.909
0,0.091,0.927
0,0.091,0.945
0,0.091,0.964
0,0.091,0.982
1,0.109,0
1,0.109,0.018
0,0.109,0.036
0,0.109,0.055
0,0.109,0.073
